street_name,address,point_of_interest,latitude,longitude,additional_info
JALAN TEKNOKRAT 4,Hadapan MIGHT,,2.920769444,101.6554917,
PERSIARAN MULTIMEDIA,Hadapan D'Puzle Cyberjaya,D'PULZE CYBERJAYA,2.921561111,101.6512306,
PERSIARAN RIMBA PERMAI,Hadapan LHDN Cyber,MENARA HASIL CYBER (UTARA),2.910988889,101.6496222,
JALAN FAUNA 1,Bertentangan SMK Cyberjaya,,2.919130556,101.6403,
JALAN PULAU MERANTI,Hadapan Laman Bayu,,2.960772222,101.6235778,
PERSIARAN MULTIMEDIA,Hadapan Cyberjaya Transport Terminal,,2.921211111,101.6507694,
PERSIARAN TASIK,Hadapan Sekolah Seri Puteri,,2.909886111,101.6653083,
JALAN TEKNOKRAT 2,Hadapan MKN Embassy Techzone,,2.937769444,101.6552722,
PERSIARAN TASIK,Bertentangan Perdana Lake View East,,2.917625,101.6681806,
PERSIARAN MULTIMEDIA,Hadapan King Bakery,,2.923436111,101.6634778,
PERSIARAN APEC,Hadapan Magic,,2.90985,101.6558139,
JALAN USAHAWAN 2,Hadapan Cyber Sport Arena,CYBER SPORTS ARENA,2.92675,101.6616111,
PERSIARAN RIMBA PERMAI,Bertentangan LHDN Cyber,,2.911225,101.6496778,
JALAN TEKNOKRAT 3,Hadapan Wisma Shell,WISMA SHELL,2.927141667,101.6546333,
PERSIARAN MULTIMEDIA,Bertentangan MSC HQ,MULTIMEDIA DEVELOPMENT CORPORATION (MDEC),2.923583333,101.65945,
JALAN CYBER POINT 2,Hadapan CSF Cmputer Data Centre,,2.914486111,101.6493056,
PERSIARAN APEC,Hadapan Axis Enreka,,2.916080556,101.6574417,
PERSIARAN MULTIMEDIA,Hadapan BMW Showroom,,2.922052778,101.6541667,
PERSIARAN MULTIMEDIA,Hadapan MMU,MMU CYBERJAYA,2.922836111,101.642825,
PERSIARAN TASIK,Hadapan Perdana Lake View West,,2.915241667,101.66885,
PERSIARAN MULTIMEDIA,Hadapan Innovation Centre,QUILL 4 CYBERJAYA,2.922836111,101.6564417,
JALAN TEKNOKRAT 1,Bertentangan Lim Kok Wing University,,2.940086111,101.6603528,
JALAN CYBER POINT 5,Hadapan Kompleks Balai Polis Cyber,,2.9064,101.6534083,
PERSIARAN CERIA,Hadapan D'Melur Condo,,2.920541667,101.6469722,
PERSIARAN BESTARI,Hadapan SK Cyberjaya 1,CYBERIA CRESCENT CONDOMINIUM,2.919327778,101.6378806,
PERSIARAN BESTARI,Hadapan Cyberia Kondo,,2.925283333,101.6377444,
PERSIARAN APEC,Bertentangan Glomac Cyberjaya,,2.925083333,101.6576611,
PERSIARAN MULTIMEDIA,Hadapan Shaftsbury Square,,2.923675,101.6613306,
PERSIARAN TASIK,Bertentangan Perdana Lake View West,PERDANA LAKEVIEW WEST,2.9151,101.6691222,
JALAN TEKNOKRAT 1,Hadapan Lim Kok Wing University,LIM KOK WING UNIVERSITY (BARAT),2.939961111,101.6603611,
PERSIARAN TASIK,Hadapan Multimedia Super Coridor,CYBERVIEW GARDEN VILLAS,2.921416667,101.6665806,
JALAN TEKNOKRAT 3,Hadapan Glomac Cyberjaya,,2.925483333,101.6555444,
PERSIARAN APEC,Bertentangan Lim Kok Wing University,,2.941713889,101.6632611,
JALAN TEKNOKRAT 4,Bertentangan MIGHT,MIGHT CYBERJAYA,2.920802778,101.6555861,
PERSIARAN TASIK,Hadapan Cyber Height Villa,SEK SERI PUTERI CYBERJAYA,2.909663889,101.6652639,
LINGKARAN CYBER POINT BARAT,Hadapan The Domain Cyber,THE DOMAIN NEOCYBER (TIMUR),2.917019444,101.6502222,
PERSIARAN MULTIMEDIA,Bertentangan Shaftsbury King Bakery,SHAFTSBURY SQUARE,2.923705556,101.6634111,
JALAN CYBER POINT 2,Hadapan Wisma Mustapha Kamal,THE DOMAIN NEOCYBER (SELATAN),2.914694444,101.649225,
PERSIARAN RIMBA PERMAI,Hadapan Balai Bomba Cyber,BALAI BOMBA CYBER,2.911988889,101.6581028,
PERSIARAN MULTIMEDIA,Hadapan HSBC,CYBER 5,2.922233333,101.6539028,
JALAN TEKNOKRAT 3,Bertentangan Wisma Shell,,2.927283333,101.6548194,BUS STOP BUILT IN WRONG POSITION
PERSIARAN TASIK,Hadapan Cyber View Garden,,2.920438889,101.6668806,
PERSIARAN CERIA,Hadapan LHDN Cyber,MENARA HASIL CYBER (BARAT),2.909508333,101.6492417,
PERSIARAN APEC,Hadapan Lim Kok Wing University,LIM KOK WING UNIVERSITY (TIMUR),2.941252778,101.6634083,
JALAN CYBER POINT 5,Hadapan Basic Bay,KOMPLEKS BALAI POLIS CYBER,2.906283333,101.6531889,
PERSIARAN RIMBA PERMAI,Hadapan Wisma Dell,,2.911622222,101.6580167,
JALAN PULAU MERANTI,Hadapan PMU Air Hitam,,2.961313889,101.6234083,PAIRING ISSUE
PERSIARAN MULTIMEDIA,Hadapan Cyberjaya Crescent Kondo,MMU CYBERJAYA,2.922366667,101.6408306,
PARSIARAN SEMARAK API,Bertentangan MMU,,2.933080556,101.6429583,
PERSIARAN MULTIMEDIA,Hadapan MSC HQ,,2.923347222,101.6595222,
PERSIARAN TASIK,Hadapan Perdana Lake View East,PERDANA LAKEVIEW EAST,2.917825,101.6683472,
,Hentian Bas Cyberjaya,CYBERJAYA TRANSPORT TERMINAL,2.920497222,101.6518389,
PERSIARAN APEC,Hadapan Prima Avenue 1,,2.920866667,101.658425,
PARSIARAN SEMARAK API,Hadapan MMU,CYBERJAYA LAKE CARDEN,2.932927778,101.6427694,
PERSIARAN CERIA,Hadapan Wisma HP,,2.909677778,101.6489028,
JALAN USAHAWAN 2,Bertentangan Cyber Sport Arena,,2.926888889,101.6616722,
PERSIARAN APEC,Hadapan Glomac Cyberjaya,GLOMAC CYBERJAYA (TIMUR),2.92525,101.6572833,
PERSIARAN CERIA,Hadapan Cyberia Crescent 2,CYBERIA CRESCENT 2,2.920588889,101.6467361,
PERSIARAN BESTARI,Bertentangan SK Cyberjaya 1,,2.919422222,101.6375667,
JALAN TEKNOKRAT 3,Hadapan Quill 18,GLOMAC CYBERJAYA (BARAT),2.924322222,101.6553806,
PERSIARAN APEC,Bertentangan Wisma Avis,UNIVERSITI MALAYSIA OF COMPUTER SCIENCE AND ENGINEERING,2.915613889,101.6575611,
JALAN FAUNA 1,Hadapan SMK Cyberjaya,CYBERJAYA SMART SCHOOL COMPLEX,2.919033333,101.6399583,
PERSIARAN APEC,Hadapan Prima Avenue 1,PRIMA AVENUE 1,2.920936111,101.65865,
JALAN TEKNOKRAT 2,Bertentangan MKN Embassy Techzone,ZON TEKNOLOGI MKN EMBASSY,2.936669444,101.6558778,
PERSIARAN BESTARI,Hadapan The ARC Cyberjaya,THE ARC CYBERJAYA,2.925133333,101.6374944,
PERSIARAN MULTIMEDIA,Bertentangan Shaftsbury Square,CENTURY SQUARE,2.923913889,101.6612583,
PERSIARAN MULTIMEDIA,Bertentangan Cyberia Crescent Kondo,,2.922563889,101.6405694,
PERSIARAN MULTIMEDIA,Hadapan DHL Cyber,,2.922536111,101.6562222,
PERSIARAN APEC,Hadapan Wisma Dell,MAGIC CENTER,2.910422222,101.6559639
